TEST_Name,Name,Data
1,x1,0.54
1,y1,0.55
1,ϴ1,0.55
2,x2,0.62
2,y2,0.67
2,ϴ2,0.62
3,x3,0.55
3,y3,0.54
3,ϴ3,0.55
4,x4,0.62
4,y4,0.62
4,ϴ4,0.67
