Iteration No,Actual Path Length,Path Travelled
1,2.657381499214427,2.7078559795501453
2,2.373085016624174,2.2619104934858294
3,1.0796991054957996,1.2920721465278073
4,3.2223004388916303,2.4845947078014508
5,1.5404896866071214,1.499723223721291
