TEST_Name,Name,Data
1,x1,0.07556
1,y1,0.38544
1,ϴ1,0.25217
2,x2,-0.10353
2,y2,-0.14366
2,ϴ2,0.05085
3,x3,-0.07617
3,y3,-0.96356
3,ϴ3,0.25513
4,x4,-0.19939
4,y4,-1.54703
4,ϴ4,-0.08784
5,x5,-0.17135
5,y5,-2.02103
5,ϴ5,0.02649
6,x6,1.12642
6,y6,-3.60356
6,ϴ6,-1.4261
7,x7,1.96151
7,y7,-3.75056
7,ϴ7,-1.38863
8,x8,3.31144
8,y8,-2.39489
8,ϴ8,3.39382
9,x9,3.36228
9,y9,-1.93467
9,ϴ9,3.4115
10,x10,3.39312
10,y10,-1.60486
10,ϴ10,3.04596
11,x11,3.23512
11,y11,-0.97976
11,ϴ11,2.98376
12,x12,3.31332
12,y12,-0.55108
12,ϴ12,3.40421
13,x13,3.51457
13,y13,0.14298
13,ϴ13,2.94165
14,x14,3.51457
14,y14,0.14298
14,ϴ14,2.94165
15,x15,3.42936
15,y15,0.60884
15,ϴ15,2.97179
