X,Y,Theta,Timestamp
2.055399669965786,1.007598344272416,0.23105435728812398,42
2.137439297786053,1.0371071038478579,0.43842101562955194,42
2.2700467232215953,1.1155376856416654,0.6515181687105193,43
2.4943900450050425,1.3283449341155433,0.7561833684218561,45
2.70250594554999,1.4891120499213204,0.5208992860932381,47
2.9508209209367355,1.6006460057040752,0.36137802936179364,48
3.1803570933223875,1.6628517038528376,0.23244095732614617,51
3.3200636262386403,1.7008142604403869,0.4745652942759465,58
3.338337955441942,1.7118249968462445,0.6931351165170971,58
3.3748861237120438,1.7388801251816965,0.9236867420009595,59
3.4021581794231257,1.7714253061575116,1.1516886468479812,59
3.4324021394383424,1.8203890113399035,1.3834297875288446,59
3.430806399172654,1.8902891020153771,1.605601770776619,60
3.4154470064594076,1.995891187217152,1.8297357399612442,61
3.348596282508194,2.2137998830105405,1.6024124274710296,64
3.353642084405378,2.2145588260656073,1.3818611642530347,64
3.337654030033502,2.231324340478941,1.1667266363902833,65
3.3353760305807283,2.2191469100554246,0.9159247396178363,65
3.335055909307449,2.213406228067214,0.7096075548768884,65
3.3433002637077234,2.2143211014247046,0.5118731895000106,66
3.3447614068799645,2.232228979708977,0.3029304650640675,66
3.349884993116148,2.238051664639279,0.11653132346053413,68
